etiqueta,p_at_k,origen,representacion,nivel
chaqueta,0.6,catalogo,por_atributo/tejido,grupo
camiseta,0.7,catalogo,por_atributo/tejido,grupo
jersey,0.9,catalogo,por_atributo/tejido,grupo
chaqueta,0.9,catalogo,por_atributo/tejido,grupo
camiseta,0.6,catalogo,por_atributo/tejido,grupo
chaqueta,1.0,catalogo,por_atributo/tejido,grupo
camiseta,0.1,catalogo,por_atributo/tejido,grupo
pantalon_corto,0.0,catalogo,por_atributo/tejido,grupo
jersey,0.0,catalogo,por_atributo/tejido,grupo
pantalon_largo,1.0,catalogo,por_atributo/tejido,grupo
camiseta,0.9,catalogo,por_atributo/tejido,grupo
chaqueta,0.9,catalogo,por_atributo/tejido,grupo
jersey,0.0,catalogo,por_atributo/tejido,grupo
pantalon_corto,0.4,catalogo,por_atributo/tejido,grupo
sudadera,0.1,catalogo,por_atributo/tejido,grupo
camiseta,0.9,catalogo,por_atributo/tejido,grupo
pantalon_corto,0.5,catalogo,por_atributo/tejido,grupo
camiseta,0.8,catalogo,por_atributo/tejido,grupo
pantalon_corto,0.1,catalogo,por_atributo/tejido,grupo
abrigo,0.0,catalogo,por_atributo/tejido,grupo
pantalon_largo,1.0,catalogo,por_atributo/tejido,grupo
